observation_date,K1NTOTL1ES000
1925-01-01,126977
1926-01-01,131537
1927-01-01,134175
1928-01-01,137774
1929-01-01,137070
1930-01-01,130220
1931-01-01,116244
1932-01-01,107642
1933-01-01,109278
1934-01-01,110648
1935-01-01,110315
1936-01-01,121360
1937-01-01,126498
1938-01-01,125187
1939-01-01,125500
1940-01-01,133587
1941-01-01,150956
1942-01-01,160521
1943-01-01,163319
1944-01-01,165236
1945-01-01,180207
1946-01-01,221007
1947-01-01,265725
1948-01-01,291557
1949-01-01,296671
1950-01-01,335868
1951-01-01,366226
1952-01-01,386310
1953-01-01,403718
1954-01-01,414924
1955-01-01,457052
1956-01-01,505534
1957-01-01,540636
1958-01-01,551356
1959-01-01,573959
1960-01-01,586872
1961-01-01,604328
1962-01-01,626795
1963-01-01,650603
1964-01-01,689318
1965-01-01,738843
1966-01-01,804263
1967-01-01,871188
1968-01-01,957886
1969-01-01,1055775
1970-01-01,1161635
1971-01-01,1275119
1972-01-01,1385696
1973-01-01,1560649
1974-01-01,1893965
1975-01-01,2083536
1976-01-01,2280237
1977-01-01,2532629
1978-01-01,2870135
1979-01-01,3313954
1980-01-01,3800290
1981-01-01,4300221
1982-01-01,4589165
1983-01-01,4744723
1984-01-01,5040975
1985-01-01,5332407
1986-01-01,5603761
1987-01-01,5919104
1988-01-01,6311228
1989-01-01,6699840
1990-01-01,7071254
1991-01-01,7242497
1992-01-01,7487351
1993-01-01,7838125
1994-01-01,8273204
1995-01-01,8723558
1996-01-01,9152132
1997-01-01,9674473
1998-01-01,10226721
1999-01-01,10849249
2000-01-01,11607864
2001-01-01,12189396
2002-01-01,12616326
2003-01-01,13038217
2004-01-01,14152545
2005-01-01,15429476
2006-01-01,16706002
2007-01-01,17647597
2008-01-01,18787982
2009-01-01,18233843
2010-01-01,18681707
2011-01-01,19549432
2012-01-01,20201795
2013-01-01,21039791
2014-01-01,22022201
2015-01-01,22494315
2016-01-01,23161992
2017-01-01,24066902
2018-01-01,25227313
2019-01-01,26423854
2020-01-01,27010148
2021-01-01,30051849
2022-01-01,33673661
2023-01-01,34771025
2024-01-01,35899940
